xflr5 v6.47

 Calculated polar for: NASA/LANGLEY LS(1)-0413 (GA(W)-2) AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.170     Re =     0.074 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000,-0.0803, 0.02688, 0.01919,-0.0064,0.9954,1.0000,-0.8300, 0.0000, 0.1659
  1.000, 0.0967, 0.03012, 0.02208,-0.0260,0.9546,1.0000,-0.4267, 0.0000, 0.5147
  2.000, 0.2589, 0.03293, 0.02486,-0.0410,0.9074,1.0000,-0.6222, 0.0000, 0.4038
  3.000, 0.4485, 0.03449, 0.02655,-0.0566,0.8467,1.0000,-0.9157, 0.0000, 0.3712
  4.000, 0.6593, 0.03065, 0.02322,-0.0671,0.7754,1.0000,-1.3186, 0.0000, 0.3462
  5.000, 0.8350, 0.02318, 0.01633,-0.0665,0.6792,1.0000,-1.7775, 0.0000, 0.3231
  6.000, 0.9355, 0.02389, 0.01477,-0.0584,0.3102,1.0000,-2.1951, 0.0000, 0.3047
  7.000, 1.0562, 0.02988, 0.01991,-0.0611,0.2071,1.0000,-2.6203, 0.0000, 0.2990
  8.000, 1.1758, 0.03750, 0.02805,-0.0638,0.1657,1.0000,-3.0064, 0.0000, 0.2942
  9.000, 1.2544, 0.04604, 0.03736,-0.0609,0.1358,1.0000,-3.4034, 0.0000, 0.2873
 10.000, 1.2841, 0.05975, 0.05214,-0.0537,0.1225,1.0000,-3.7028, 0.0000, 0.2794
 11.000, 1.2044, 0.07585, 0.06955,-0.0396,0.1205,1.0000,-3.5815, 0.0000, 0.2692
 12.000, 1.0668, 0.10472, 0.09915,-0.0425,0.1235,1.0000,-3.1235, 0.0000, 0.2747
 13.000, 0.5866, 0.14074, 0.13566,-0.0506,0.2215,1.0000,-1.0581, 0.0000, 0.3258
 14.000, 0.6450, 0.15944, 0.15442,-0.0529,0.1994,1.0000,-1.2057, 0.0000, 0.3205


